Date,Close,High,Low,Open,Volume,20-Day MA,Daily Return,50-Day MA,Cumulative Return,Rolling Volatility,RSI
2024-02-01,1.2678449153900146,1.2725398540496826,1.2626293897628784,1.2680699825286865,0,,,,,,
2024-02-02,1.27472984790802,1.2772860527038574,1.262371301651001,1.27472984790802,0,,0.005430421682045772,,1.0054304216820458,,
2024-02-05,1.2621959447860718,1.2629930973052979,1.2520031929016113,1.2616863250732422,0,,-0.009832595622137341,,0.9955444309194512,,
2024-02-06,1.2534469366073608,1.2594616413116455,1.2534469366073608,1.2534469366073608,0,,-0.006931576840229714,,0.9886437381986702,,
2024-02-07,1.2606525421142578,1.2641905546188354,1.2597631216049194,1.260398268699646,0,,0.005748632268710141,,0.9943270874943373,,
2024-02-08,1.2627378702163696,1.2639029026031494,1.2574820518493652,1.2627538442611694,0,,0.0016541656264892346,,0.9959718691839575,,
2024-02-09,1.2620525360107422,1.264222502708435,1.260096549987793,1.262148141860962,0,,-0.0005427367166156438,,0.9954313186818351,,
2024-02-12,1.2637271881103516,1.2654062509536743,1.2607479095458984,1.2638709545135498,0,,0.0013269274073983706,,0.9967521837807767,,
2024-02-13,1.2627538442611694,1.268343448638916,1.2577824592590332,1.2627538442611694,0,,-0.0007702167511625113,,0.9959844685520709,,
2024-02-14,1.2590652704238892,1.2610993385314941,1.2536983489990234,1.2591286897659302,0,,-0.0029210553220991864,,0.9930751428194787,,
2024-02-15,1.2568340301513672,1.2596521377563477,1.2542644739151,1.256818175315857,0,,-0.0017721402733718028,,0.9913152743644039,,
2024-02-16,1.259921908378601,1.2602394819259644,1.2554454803466797,1.259921908378601,0,,0.002456870321105198,,0.9937508074408481,,
2024-02-19,1.2611136436462402,1.262977123260498,1.2583364248275757,1.2611136436462402,0,,0.000945880264256127,,0.994690776717195,,
2024-02-20,1.2587641477584839,1.2667046785354614,1.2580199241638184,1.2588274478912354,0,,-0.0018630326454666113,,0.9928376353280263,,41.48800890364884
2024-02-21,1.2627378702163696,1.2637910842895508,1.260398268699646,1.26264226436615,0,,0.003156844326208219,,0.9959718691839575,,45.54473773427539
2024-02-22,1.2638070583343506,1.2709709405899048,1.2612568140029907,1.2638869285583496,0,,0.0008467221449512952,,0.9968151806213441,,39.39514588951517
2024-02-23,1.266367793083191,1.2701799869537354,1.2649741172790527,1.2661433219909668,0,,0.0020262070321201975,,0.9988349345500432,,55.02319546195715
2024-02-26,1.2672665119171143,1.2699542045593262,1.2657266855239868,1.2671059370040894,0,,0.0007096823204379987,,0.9995437900441293,,70.51870679065883
2024-02-27,1.268455982208252,1.269689679145813,1.2661913633346558,1.268455982208252,0,,0.0009386110024625083,,1.0004819728429077,,64.10629934834327
2024-02-28,1.268166422843933,1.2684237957000732,1.2624667882919312,1.2680699825286865,0,1.2631321132183075,-0.00022827703001149224,,1.0002535857895671,,60.494561209439524
