Date,Close,High,Low,Open,Volume,20-Day MA,Daily Return
2024-02-28,1.268166422843933,1.2684237957000732,1.2624667882919312,1.2680699825286865,0,1.2631321132183075,-0.00022827703001149224
2024-02-29,1.2663036584854126,1.2682147026062012,1.2629133462905884,1.2661913633346558,0,1.2630550503730773,-0.0014688642791402806
2024-03-01,1.2625465393066406,1.2656145095825195,1.2601124048233032,1.2627220153808594,0,1.2624458849430085,-0.0029669970181289695
2024-03-04,1.26603102684021,1.2706642150878906,1.2656785249710083,1.266127347946167,0,1.2626376390457152,0.002759888388338405
2024-03-05,1.269196629524231,1.2733501195907593,1.2672665119171143,1.2690355777740479,0,1.2634251236915588,0.002500414774132098
2024-03-06,1.27048659324646,1.27611243724823,1.2690355777740479,1.2705026865005493,0,1.263916826248169,0.0010163623919428044
2024-03-07,1.2735446691513062,1.2798854112625122,1.272394061088562,1.2736419439315796,0,1.2644571661949158,0.002407011550615401
2024-03-08,1.2815583944320679,1.2890584468841553,1.2801966667175293,1.2813777923583984,0,1.265432459115982,0.006292457166894749
2024-03-11,1.2855123281478882,1.2862398624420166,1.279606819152832,1.2856113910675049,0,1.2665217161178588,0.0030852544316348762
2024-03-12,1.2819806337356567,1.2825446128845215,1.274827241897583,1.2818540334701538,0,1.2674830555915833,-0.002747304973200637
2024-03-13,1.2795906066894531,1.2809016704559326,1.277612328529358,1.2796560525894165,0,1.2685093224048614,-0.0018643238308827526
2024-03-14,1.2802129983901978,1.2823472023010254,1.2730745077133179,1.2801966667175293,0,1.269678270816803,0.00048639908537229104
2024-03-15,1.2745835781097412,1.2759170532226562,1.2730745077133179,1.2746485471725464,0,1.27041135430336,-0.004397252869276613
2024-03-18,1.2731393575668335,1.2748597860336304,1.2722645998001099,1.2731878757476807,0,1.2710126399993897,-0.0011330920684303747
2024-03-19,1.272718071937561,1.2729123830795288,1.2669775485992432,1.272718071937561,0,1.2717103362083435,-0.0003309029972002886
2024-03-20,1.2719409465789795,1.2730096578598022,1.26850426197052,1.271779179573059,0,1.272170490026474,-0.0006106029101939914
2024-03-21,1.2798361778259277,1.280393362045288,1.2660471200942993,1.2798361778259277,0,1.272971946001053,0.006207230978909184
2024-03-22,1.2661913633346558,1.2675877809524536,1.257735013961792,1.2661433219909668,0,1.2729631245136261,-0.01066137582893667
2024-03-25,1.25979483127594,1.2651821374893188,1.2592713832855225,1.25979483127594,0,1.2725895404815675,-0.005051789361340986
2024-03-26,1.2637910842895508,1.266784906387329,1.2625943422317505,1.2636953592300415,0,1.2723562955856322,0.0031721459037605815
2024-03-27,1.2628495693206787,1.2639029026031494,1.2606048583984375,1.262833595275879,0,1.2720904529094696,-0.000744992570826164
